!,0,
artus,1,artus2
ascendit,0,ascendo
ascribere,0,ascribo
ascribi,0,ascribo
ascripserunt,0,ascribo
ascriptus,0,ascribo
asello,0,asellus
asellum,0,asellus
asellus,0,asellus
asiae,0,asia
asino,0,asinus
asinum,0,asinus
asinus,0,asinus
asperae,0,asper1
asperam,0,asper1
aspernatus,0,aspernor
aspero,0,asper1
aspero,1,aspero
aspero,2,asperum
aspexit,0,aspicio
aspiciendam,0,aspicio
aspicit,0,aspicio
aspiciunt,0,aspicio
assecuta,0,ad-sequor
assem,0,as
assem,1,assis1
assem,2,assis2
assem,3,asso
assensit,0,ad-sentio
assentio,0,assentior
assequar,0,assequor
assequi,0,assequor
asserit,0,assero1
asserit,1,assero2
assidue,0,assiduus1
assidue,1,assiduus2
assignari,0,assigno
assignate,0,assigno
assilit,0,assilio
assiluit,0,ad-sileo
assistebat,0,assisto
assuetam,0,assuesco
assuevi,0,assuesco
assuevit,0,assuesco
astris,0,astrum
astu,0,astus2
at,0,at
athenae,0,
athenas,0,
atque,0,atque
atriensem,0,atriensis
atriensibus,0,atriensis
atroci,0,atrox
atrocitati,0,atrocitas
attende,0,attendo
attendere,0,attendo
attentarit,0,ad-tento
attestatur,0,attestor
attici,0,
atticus,0,
attrahit,0,attraho
attraxit,0,attraho
attribuisset,0,attribuo
attributum,0,attribuo
attributum,1,attributum
auctor,0,aucto
auctor,1,auctor
auctores,0,auctor
auctores,1,auctoro
auctoris,0,auctor
auctoritatem,0,auctoritas
auctoritatis,0,auctoritas
audacem,0,audax
audacia,0,audacia
audacia,1,audax
audaciam,0,audacia
audacter,0,audacter
audebat,0,audeo
audet,0,audeo
audi,0,audio
audierat,0,audio
audio,0,audio
audis,0,audio
audite,0,audio
aufer,0,aufero
augurium,0,augurium
augusto,0,augusto
augusto,1,augustus1
aulaeo,0,aulaeum
aura,0,aura
aura,1,auro
aura,2,aurum
auras,0,aura
auras,1,auro
aurem,0,auris
aurem,1,auro
aures,0,auris
aures,1,auro
auribus,0,auris
auris,0,aura
auris,1,auris
auris,2,aurum
auritulus,0,auritulus
auro,0,auro
auro,1,aurum
aurum,0,aurum
ausus,0,audeo
ausus,1,ausus2
aut,0,aut
autem,0,autem
auxilia,0,auxilia
auxilia,1,auxilio
auxilia,2,auxilior
auxilia,3,auxilium
auxilio,0,auxilio
auxilio,1,auxilior
auxilio,2,auxilium
auxilium,0,auxilia
auxilium,1,auxilium
avare,0,avarus
avari,0,avarus
avaris,0,avarus
avarum,0,avarus
avarum,1,avia1
ave,0,aveo1
ave,1,aveo2
ave,2,avis
ave,3,avus
aversam,0,averto
avertendum,0,averto
avertit,0,averto
avi,0,avis
avi,1,avium
avi,2,avius
avi,3,avus
avibus,0,avis
avida,0,avidus
avidis,0,avidus
aviditas,0,aviditas
avidum,0,avidus
avis,0,avia1
avis,1,avis
avis,2,avus
avocabat,0,avoco
baccho,0,
baculo,0,baculum
baculo,1,baculus
baiulantem,0,bajulo
balanti,0,balo
barbam,0,barba1
barbarum,0,barba1
barbarum,1,barbarum2
barbarum,2,barbarus
barbarus,0,barbarus
barbatis,0,barbatus
barbatum,0,barbatus
barbatus,0,barbatus
basi,0,basium
basia,0,basio
basia,1,basium
bathyllo,0,
bella,0,bello
bella,1,bellum
bella,2,bellus
bene,0,bene
bene,1,benus
beneficium,0,beneficium
benevolentiam,0,benevolentia
benignitas,0,benignitas
bestiae,0,bestia1
bestias,0,bestia1
bibamus,0,bibo1
bibendum,0,bibo1
bibenti,0,bibo1
bibere,0,bibo1
bibisset,0,bibo1
bidens,0,bidens
bilinguis,0,bilinguis
binas,0,bini
bipenni,0,bipennis
bipenni,1,bipennis1
bipenni,2,bipennis2
bis,0,bis
blandiar,0,blandio
blandiar,1,blandior
blandiretur,0,blandio
blandiretur,1,blandior
blanditiae,0,blanditia
blandos,0,blandus
bona,0,bonum
bona,1,bonum#
bona,2,bonus
bonas,0,bonae
bonas,1,bonus
boni,0,bonum
boni,1,bonum#
boni,2,bonus
bonis,0,bonae
bonis,1,bonum
bonis,2,bonum#
bonis,3,bonus
bonitas,0,bonitas
bono,0,bonum
bono,1,bonum#
bono,2,bonus
bonorum,0,bonum
bonorum,1,bonum#
bonorum,2,bonus
bonum,0,bonum
bonum,1,bonum#
bonum,2,bonus
bonus,0,bonus
bos,0,bos
bove,0,bos
bovem,0,bos
boves,0,bos
bovili,0,bubile
breve,0,breve
breve,1,brevis
brevem,0,brevis
brevi,0,breve
brevi,1,brevi
brevi,2,brevis
brevis,0,breve
brevis,1,brevis
brevitas,0,brevitas
brevitate,0,brevitas
brevitatem,0,brevitas
brevitati,0,brevitas
breviter,0,brevis
breviter,1,breviter
brevius,0,brevis
bruma,0,bruma
bubulce,0,bubulcus1
bubulco,0,bubulcus1
bubulcus,0,bubulcus1
bubus,0,bos
buvile,0,
cacant,0,caco
cadaverum,0,cadaver
cadere,0,cado
cadis,0,cado
cadis,1,cadus
caeca,0,caeco
caeca,1,caecum
caeca,2,caecus1
caeco,0,caeco
caeco,1,caecum
caeco,2,caecus1
caede,0,caedes
caede,1,caedo
caedem,0,caedes
caelitum,0,caeles
caelo,0,caelo
caelo,1,caelum1
caelo,2,caelum2
caelo,3,caelus
caelum,0,caelum1
caelum,1,caelum2
caelum,2,caelus
caesar,0,
caesus,0,caedo
caesus,1,caesus1
caesus,2,caesus2
calamitas,0,calamitas
calamitas,1,calamites
calamitate,0,calamitas
calamitatem,0,calamitas
calamo,0,calamus
calce,0,calcis
calceandos,0,
calceis,0,calceus
calcibus,0,calcis
callida,0,callidus
callidi,0,callidus
callidus,0,callidus
calumniae,0,calumnia
calumniamque,0,calumnia
calumniari,0,calumnio
calumniator,0,calumniator
calvi,0,calvo
calvi,1,calvor
calvi,2,calvus1
calvus,0,calvus1
camerae,0,camera
campo,0,campus1
campo,1,campus2
campum,0,campus1
campum,1,campus2
canceres,0,
candore,0,candor
canem,0,canis1
canens,0,caneo
canens,1,cano
canes,0,caneo
canes,1,canis1
canes,2,cano
cani,0,cani
cani,1,canis1
cani,2,cano
cani,3,canus
canibus,0,canis1
canis,0,cani
canis,1,canis1
canis,2,cano
canis,3,canus
canos,0,cani
canos,1,canus
cantibus,0,cantus
canticum,0,canticum
canticum,1,canticus
cantu,0,cano
cantu,1,cantus
cantus,0,cano
cantus,1,cantus
canum,0,cani
canum,1,canis1
canum,2,canus
canus,0,canus
capacis,0,capax
capella,0,capella1
capellae,0,capella1
capellas,0,capella1
caper,0,caper
capere,0,capio
capere,1,capio1
caperis,0,capio
caperis,1,capio1
capi,0,capio
capi,1,capio1
capi,2,capus
capiant,0,capio
capiant,1,capio1
capiat,0,capio
capiat,1,capio1
capillos,0,capillus
capis,0,capio
capis,1,capio1
capis,2,capis
capis,3,capus
capita,0,capitum
capita,1,caput
capite,0,capio
capite,1,capio1
capite,2,capitum
capite,3,caput
capitibus,0,caput
capris,0,caper
capris,1,capra
capta,0,capio
capta,1,capio1
capta,2,capto
captans,0,capto
captant,0,capto
captas,0,capio
captas,1,capio1
captas,2,capto
capti,0,capio
capti,1,capio1
capti,2,captus
captus,0,capio
captus,1,capio1
captus,2,captus
captus,3,captus2
caput,0,caput
carbonem,0,carbo1
careas,0,careo
carebunt,0,careo
carere,0,careo
carere,1,caro1
caret,0,careo
caret,1,caro1
cariosis,0,cariosus
caritatem,0,caritas
carminis,0,carmen1
carminis,1,carmen2
carnem,0,caro2
carnis,0,caro2
carpens,0,carpo
carpere,0,carpo
carperent,0,carpo
caseum,0,caseum
caseum,1,caseus
cassandrae,0,
casta,0,castum
casta,1,castus1
castae,0,castus1
castas,0,castus1
castitatem,0,castitas
castorem,0,castor1
castrorum,0,castra
castrorum,1,castrum
casu,0,cado
casu,1,casus1
casus,0,cado
casus,1,casus1
catena,0,catena
catena,1,cateno
cathedra,0,cathedra
cato,0,catus1
cato,1,catus2
catulis,0,catulio
catulis,1,catulus1
catulos,0,catulus1
caudae,0,cauda
caudam,0,cauda
causa,0,causa
causam,0,causa
causas,0,causa
causis,0,causa
cautis,0,cauta
cautis,1,cautes
cautis,2,caveo
cavere,0,caveo
cavere,1,cavo
cavernam,0,caverna
cavete,0,caveo
cavo,0,cavo
cavo,1,cavum
cavo,2,cavus
cavoque,0,cavo
cavoque,1,cavum
cavoque,2,cavus
cavos,0,cavus
cedam,0,cedo1
cedere,0,cedo1
cedo,0,cedo1
cedo,1,cedo2
celans,0,celo
celat,0,celo
celaverat,0,celo
celavi,0,celo
celebrate,0,celebro
celebres,0,celeber
celebres,1,celebro
celeri,0,celer1
celeritate,0,celeritas
celeriter,0,celeriter
celerius,0,celer1
celsa,0,celsus1
celsis,0,celsus1
cena,0,cena
cena,1,ceno
cenam,0,cena
cenat,0,ceno
censeo,0,censeo1
censeo,1,censeo2
censores,0,censor
centena,0,centena
centena,1,centeni
centum,0,centum
centumviros,0,centumviri
ceperat,0,capio
ceperat,1,capio1
cepi,0,capio
cepi,1,capio1
cepissent,0,capio
cepissent,1,capio1
cepit,0,capio
cepit,1,capio1
cerebrum,0,cerebrum
ceris,0,cera
cernens,0,cerno
certa,0,certo2
certa,1,certus
certae,0,certus
certamina,0,certamen
certaminis,0,certamen
certarent,0,certo2
certatim,0,certatim
certe,0,certus
certis,0,certus
certissimam,0,certus
certo,0,certo1
certo,1,certo2
certo,2,certus
certumque,0,certus
cervi,0,cervus
cervice,0,cervix
cervum,0,cervus
cervus,0,cervus
cessabit,0,cesso
cessabunt,0,cesso
cessarunt,0,cesso
cessit,0,cedo1
cetera,0,ceter
cetera,1,ceterum
cetera,2,ceterus
ceteri,0,ceter
ceteri,1,ceterum
ceteri,2,ceterus
ceteros,0,ceter
ceteros,1,ceterus
chartas,0,charta
chartis,0,charta
chartis,1,chartus
chordas,0,chorda
chordas,1,chordus1
chorum,0,chorus
chorus,0,chorus
cia,0,cichorium
cibaria,0,cibaria
cibaria,1,cibarium
cibaria,2,cibarius
cibi,0,cibus
cibo,0,cibo
cibo,1,cibus
cibum,0,cibus
cibus,0,cibus
cicada,0,cicada
ciconia,0,ciconia
ciconiam,0,ciconia
ciens,0,cieo
ciet,0,cieo
